domain,target,feature,n_queries,n_comparisons,effect,effect_lo,effect_hi,direction,matched_effect,matched_effect_lo,matched_effect_hi,matched_direction,matched_n_comparisons,shap_share,shap_direction
en/editors,y_top,in_search_results,10,31523,0.6431177235669194,0.5770605997980939,0.7017373133979539,up,0.6431177235669194,0.5770605997980939,0.7017373133979539,up,31523,0.002357520420980313,-0.8645260227949624
en/editors,y_top,n_results_mentioning,10,9046,0.91277912889675,0.8703546865996961,0.9520179683067439,up,0.91277912889675,0.8703546865996961,0.9520179683067439,up,9046,0.3041880420678099,0.9380260380743342
en/editors,y_top,best_position,10,9046,0.6335396860490825,0.5687345371043849,0.7075895130803037,up,0.04316546762589928,-0.19261648745519713,0.33978658536585366,flat,139,0.025554644948231325,0.7135015746518564
en/editors,y_top,n_official,10,9046,0.03813840371434889,-0.017265680470011757,0.09328658976261017,flat,-0.07194244604316546,-0.18842538190364277,0.010243097238895523,flat,139,0.002845993540902541,-0.3537885105583539
en/editors,y_top,n_editorial,10,9046,0.44671678089763434,0.27556529418824355,0.6355075695595941,up,0.050359712230215826,-0.04377089968152866,0.17294786553159758,flat,139,0.03509220027963621,0.5753597204946339
en/editors,y_top,n_affiliate,10,9046,0.2233031173999558,0.11501266023367306,0.3624453768513291,up,0.14388489208633093,-0.009721121458292053,0.3459787288734656,flat,139,0.0059071603191260345,0.36771847342648534
en/editors,y_top,n_forum,10,9046,0.8736458103028963,0.7985418930454614,0.9357562449224137,up,0.16546762589928057,-0.07248550724637681,0.45647437946095654,flat,139,0.07697799734652783,0.9093196390857934
en/editors,y_top,n_retailer,10,9046,0.0,0.0,0.0,flat,0.0,0.0,0.0,flat,139,0.0,
en/editors,y_top,n_unknown,10,9046,0.767521556489056,0.6809077152522067,0.8497963012723646,up,-0.2446043165467626,-0.5570863226105068,0.03499999999999997,flat,139,0.012312023407899522,0.3335144397954103
en/editors,y_top,lex_authority,10,9046,0.3086447048419191,0.16629825803223738,0.4804493294694982,up,0.02158273381294964,-0.0862256371814093,0.15646406388642414,flat,139,0.008793648847165674,0.4898486670613548
en/editors,y_top,lex_social_proof,10,9046,0.430908688923281,0.31074453854098616,0.5363726638437721,up,0.03597122302158273,-0.26858128078817733,0.3542930825242718,flat,139,0.021022276489057877,0.5885198851200982
