scope,arm,n,n_base,first_rate,first_rate_lo,first_rate_hi,first_effect,first_effect_lo,first_effect_hi,mentioned_rate,mentioned_rate_lo,mentioned_rate_hi,mentioned_effect,mentioned_effect_lo,mentioned_effect_hi
ALL,1,56,56,0.8035714285714286,0.6964285714285714,0.9107142857142857,0.125,-0.03571428571428581,0.2857142857142857,0.9107142857142857,0.8392857142857143,0.9821428571428571,0.0,-0.1071428571428571,0.1071428571428571
ALL,2,56,56,0.5357142857142857,0.4107142857142857,0.6607142857142857,-0.1428571428571429,-0.32142857142857145,0.05357142857142849,0.8392857142857143,0.7321428571428571,0.9285714285714286,-0.0714285714285714,-0.1964285714285714,0.05357142857142849
ALL,3,56,56,0.5178571428571429,0.39285714285714285,0.6428571428571429,-0.1607142857142857,-0.33928571428571425,0.01785714285714285,0.8928571428571429,0.8035714285714286,0.9642857142857143,-0.017857142857142794,-0.125,0.0892857142857143
ALL,4,56,56,0.6964285714285714,0.5714285714285714,0.8214285714285714,0.017857142857142794,-0.1607142857142857,0.1785714285714286,0.9107142857142857,0.8388392857142858,0.9821428571428571,0.0,-0.1071428571428571,0.1071428571428571
ALL,5,56,56,0.6785714285714286,0.5535714285714286,0.7857142857142857,0.0,-0.1785714285714286,0.1607142857142857,0.9107142857142857,0.8392857142857143,0.9821428571428571,0.0,-0.1071428571428572,0.1071428571428571
sunscreen,1,28,28,0.8214285714285714,0.6785714285714286,0.9642857142857143,0.1428571428571428,-0.07142857142857151,0.3571428571428572,0.8214285714285714,0.6785714285714286,0.9642857142857143,-0.1071428571428572,-0.2857142857142857,0.0714285714285714
sunscreen,2,28,28,0.4642857142857143,0.2857142857142857,0.6428571428571429,-0.2142857142857143,-0.4642857142857143,0.0357142857142857,0.7857142857142857,0.6071428571428571,0.9285714285714286,-0.1428571428571429,-0.3214285714285714,0.03571428571428581
sunscreen,3,28,28,0.39285714285714285,0.21428571428571427,0.5714285714285714,-0.28571428571428575,-0.5357142857142857,-0.0357142857142857,0.8214285714285714,0.6785714285714286,0.9642857142857143,-0.1071428571428572,-0.2857142857142857,0.07142857142857151
sunscreen,4,28,28,0.6071428571428571,0.42857142857142855,0.7857142857142857,-0.07142857142857151,-0.3214285714285714,0.1785714285714286,0.8571428571428571,0.7142857142857143,0.9642857142857143,-0.07142857142857151,-0.25,0.1071428571428571
sunscreen,5,28,28,0.6785714285714286,0.5,0.8571428571428571,0.0,-0.25,0.25,0.9285714285714286,0.8214285714285714,1.0,0.0,-0.1428571428571429,0.1428571428571429
vpn,1,28,28,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.1071428571428571,-0.10803571428571429,0.3571428571428571,1.0,1.0,1.0,0.1071428571428571,0.0,0.2142857142857143
vpn,2,28,28,0.6071428571428571,0.42857142857142855,0.7857142857142857,-0.07142857142857151,-0.3214285714285714,0.1785714285714286,0.8928571428571429,0.75,1.0,0.0,-0.1785714285714286,0.1428571428571429
vpn,3,28,28,0.6428571428571429,0.4642857142857143,0.8214285714285714,-0.0357142857142857,-0.2857142857142857,0.2142857142857143,0.9642857142857143,0.8928571428571429,1.0,0.0714285714285714,-0.0366071428571429,0.2142857142857143
vpn,4,28,28,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.1071428571428571,-0.1071428571428572,0.3214285714285715,0.9642857142857143,0.8928571428571429,1.0,0.0714285714285714,-0.03571428571428581,0.2142857142857143
vpn,5,28,28,0.6785714285714286,0.5,0.8571428571428571,0.0,-0.25,0.25,0.8928571428571429,0.75,1.0,0.0,-0.1428571428571429,0.1785714285714286
