scope,n,filler,filler_lo,filler_hi,control,sentences,filler_vs_control,sentences_vs_filler,filler_vs_control_lo,filler_vs_control_hi,sentences_vs_filler_lo,sentences_vs_filler_hi
ALL,20,0.15,0.0,0.3,0.1,0.9863636363636363,0.04999999999999999,0.8363636363636363,-0.15000000000000002,0.25,0.6727272727272728,0.9863636363636363
sunscreen,10,0.2,0.0,0.5,0.1,0.990909090909091,0.1,0.790909090909091,-0.2,0.4,0.5,1.0
vpn,10,0.1,0.0,0.3,0.1,0.9818181818181818,0.0,0.8818181818181818,-0.3,0.3,0.6727272727272728,1.0
