block,n,picked,picked_lo,picked_hi,echo,echo_lo,echo_hi,echo_when_not_picked,echo_when_not_picked_lo,echo_when_not_picked_hi,warned,warned_lo,warned_hi
ALL,80,0.4,0.2875,0.5,0.6875,0.5875,0.7875,0.4791666666666667,0.3333333333333333,0.625,0.1125,0.05,0.1875
cross,20,0.7,0.5,0.9,0.8,0.6,0.95,0.3333333333333333,0.0,0.6666666666666666,0.05,0.0,0.15
tournament,60,0.3,0.18333333333333332,0.4166666666666667,0.65,0.5333333333333333,0.7666666666666667,0.5,0.35714285714285715,0.6428571428571429,0.13333333333333333,0.05,0.23333333333333334
