track,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi
en,naive_position,18525,975,0.05263157894736842,0.1890894866173639,0.8761561545766674,0.3046153846153846,0.49332845974359596,0.2119263286761198,0.16509470105860485,0.2157409203185341,0.19082388119779764,0.4142948840551991
en,naive_frequency,18525,975,0.05263157894736842,0.4296615516481933,0.958451340492366,0.48512820512820515,0.783568320172173,0.04417384630268322,0.32225924466456124,0.7284779008689374,0.22593485139022051,0.7410556030981665
en,M0,18525,975,0.05263157894736842,0.45395565934792503,0.9596950544232595,0.48512820512820515,0.783568320172173,0.09002642044815468,0.33434513567989915,0.7228703082797581,0.22593485139022051,0.7410556030981665
en,M1,18525,975,0.05263157894736842,0.6098798485767728,0.9692759441887647,0.48512820512820515,0.7866452432490961,0.10302500454707741,0.3860781241870002,0.8426761397359721,0.22593485139022051,0.7410556030981665
en,M2,18525,975,0.05263157894736842,0.6933214380973616,0.9721343268317627,0.6256410256410256,0.8327056794981748,0.04529625882285561,0.6109000231867336,0.769546542730393,0.5447146823302663,0.7041648078733046
en,M3_named,18525,975,0.05263157894736842,0.7582308441286312,0.9769754401344145,0.7282051282051282,0.8730608606080635,0.02988473744916125,0.5852910082531725,0.8852776311603581,0.5646445603901645,0.8838992310805341
en,M3_masked,18525,975,0.05263157894736842,0.3758422424588127,0.9352480677916575,0.48615384615384616,0.6998725157216186,0.04639735402568543,0.3233962333413422,0.4408202197052888,0.39236951596292485,0.5716489961580246
tr,naive_position,1083,57,0.05263157894736842,0.1543101087732175,0.790901473957799,0.15789473684210525,0.3101468031954933,0.13324834250413,0.1342235440857732,0.17763292240537254,0.06666666666666667,0.23809523809523808
tr,naive_frequency,1083,57,0.05263157894736842,0.16792040297398053,0.8487312335419446,0.12280701754385964,0.3734312021303289,0.04714593988455534,0.13551961281225638,0.2761195003754437,0.0,0.3877551020408163
tr,M0,1083,57,0.05263157894736842,0.24172413032295081,0.8863068978489108,0.2807017543859649,0.36925329874687124,0.16582760199979696,0.15924240532419434,0.6043333035642853,0.0,0.64
tr,M1,1083,57,0.05263157894736842,0.29190543666734303,0.8880339249683663,0.2982456140350877,0.40434101804511685,0.16996209574162763,0.14045047508739203,0.5670173416225134,0.057692307692307696,0.5964912280701754
tr,M2,1083,57,0.05263157894736842,0.26029194043971965,0.8842036866044253,0.3333333333333333,0.4851692766290752,0.08419201406713799,0.15458115859933597,0.5055405162542348,0.127152133580705,0.532258064516129
tr,M3_named,1083,57,0.05263157894736842,0.15876528592463934,0.8162426045620874,0.15789473684210525,0.3009587503132858,0.06617281038369854,0.1387163042573759,0.19071051961564178,0.1,0.22807017543859648
tr,M3_masked,1083,57,0.05263157894736842,0.15020951794037957,0.7679371430525632,0.15789473684210525,0.34753153571429085,0.05278334003047393,0.14431155027805348,0.21414985633339864,0.07448533196088523,0.26
