track,category,n_pairs,named_pr_auc,named_top1,named_ndcg@3,masked_pr_auc,masked_top1,masked_ndcg@3,independent_query_groups,delta_pr_auc,delta_pr_auc_lo,delta_pr_auc_hi,delta_top1,delta_top1_lo,delta_top1_hi,delta_ndcg@3,delta_ndcg@3_lo,delta_ndcg@3_hi
en,editors,32610,0.841158194525643,0.8923643054277829,0.9091645441648049,0.4272565531325351,0.4296228150873965,0.6374524435832636,10.0,0.4139016413931079,0.21274990698492247,0.5890122668599226,0.46274149034038636,0.3096152239650184,0.5925291320510552,0.2717121005815415,0.14073438859021503,0.38875197288213337
en,hosting,26460,0.20993891673053425,0.1414965986394558,0.5140159112050672,0.13840767730627815,0.14829931972789115,0.34952690189504804,10.0,0.0715312394242561,0.0173891418206054,0.13191580520541366,-0.006802721088435374,-0.10288922573662222,0.13152466832504137,0.16448900931001909,0.037087129962024686,0.2870639862687703
en,travel,20763,0.6424973537930769,0.7555266579973993,0.8152039517694613,0.5583007995307698,0.576072821846554,0.7062475418586338,10.0,0.0841965542623071,-0.12784051603207827,0.3172650125676314,0.17945383615084526,0.053135751427007584,0.32092190601919224,0.10895640991082767,0.010789005001907175,0.22571624015748976
en,vpn,18525,0.7352293170128196,0.6820512820512821,0.8541838104102619,0.3885412600627469,0.4502564102564103,0.6844752493809598,10.0,0.34668805695007265,0.13618590913213588,0.4907287254363204,0.2317948717948718,0.08684281970649896,0.3962980140794052,0.16970856102930187,0.09941312801709482,0.24692664328890387
tr,cosmetics,1776,0.05476451617581587,0.16666666666666666,0.23462207306547742,0.07156000501745871,0.041666666666666664,0.09424414613095479,3.0,-0.016795488841642843,-0.01837520769162891,0.16445409934326496,0.125,0.0,0.42857142857142855,0.1403779269345226,0.0,0.42857142857142855
tr,vpn,1083,0.1463305352260954,0.15789473684210525,0.32539364962406425,0.1200906854909007,0.17543859649122806,0.38491626823308833,5.0,0.026239849735194706,-0.0798252373372846,0.14941381473436902,-0.017543859649122806,-0.21311475409836064,0.18,-0.05952261860902408,-0.18554930184729165,0.0789606172740519
