group,n_brands,mention_off,mention_on,retrieval_gain,retrieval_gain_lo,retrieval_gain_hi,independent_query_groups,category,n_unclear,track
global,65,0.1076923076923077,0.13025641025641024,0.022564102564102562,0.004307692307692307,0.04287179487179487,5,cosmetics,0,tr
tr,9,0.09481481481481482,0.1096296296296296,0.014814814814814812,-0.005925925925925922,0.03851851851851852,5,cosmetics,0,tr
