track,category,model_id,target,search_off,search_on,delta_n_eff
en,editors,ALL,y_mention,14.677124176322456,14.769771074079083,0.0926468977566266
en,editors,ALL,y_top,1.1430911668188546,1.2505373874555619,0.10744622063670728
en,editors,claude-opus-4-6,y_mention,13.583237383069111,15.032759031361651,1.4495216482925404
en,editors,claude-opus-4-6,y_top,1.0392006149116064,1.2196770315495336,0.18047641663792713
en,editors,gpt-5.4,y_mention,14.634062745342176,14.59443226363697,-0.03963048170520622
en,editors,gpt-5.4,y_top,1.1288037293983775,1.2559919735424179,0.1271882441440404
en,editors,grok-4.20-0309-reasoning,y_mention,14.347041171817924,13.485590438466891,-0.8614507333510328
en,editors,grok-4.20-0309-reasoning,y_top,1.3281680829449989,1.3968707437796897,0.06870266083469079
en,editors,zai-org/GLM-5,y_mention,14.040856939177848,13.780230017903486,-0.26062692127436193
en,editors,zai-org/GLM-5,y_top,1.0757337251198096,1.121908098551571,0.04617437343176145
en,hosting,ALL,y_mention,18.919769647626413,20.75966481942437,1.8398951717979557
en,hosting,ALL,y_top,4.615179167594035,5.4443347072873305,0.8291555396932955
en,hosting,claude-opus-4-6,y_mention,17.743316629457944,22.446038304931385,4.702721675473441
en,hosting,claude-opus-4-6,y_top,4.817559863169897,5.392757660167131,0.5751977969972346
en,hosting,gpt-5.4,y_mention,17.365714675040724,16.303561175635537,-1.0621534994051878
en,hosting,gpt-5.4,y_top,3.037233071728418,3.8030346682032072,0.7658015964747893
en,hosting,grok-4.20-0309-reasoning,y_mention,18.885822420886583,20.445628369607633,1.5598059487210492
en,hosting,grok-4.20-0309-reasoning,y_top,4.676377166712042,4.9575530586766545,0.28117589196461257
en,hosting,zai-org/GLM-5,y_mention,19.003215661747785,20.185770183092995,1.1825545213452102
en,hosting,zai-org/GLM-5,y_top,4.4204231830726775,6.303842963782139,1.8834197807094615
en,travel,ALL,y_mention,12.050862120712084,11.773751811133609,-0.27711030957847527
en,travel,ALL,y_top,1.4779768411544076,1.7096942064894023,0.23171736533499465
en,travel,claude-opus-4-6,y_mention,13.108260379648089,14.204449387008136,1.0961890073600475
en,travel,claude-opus-4-6,y_top,1.8251422659079153,1.335381913959614,-0.48976035194830136
en,travel,gpt-5.4,y_mention,10.054403709802079,8.90206890434551,-1.1523348054565687
en,travel,gpt-5.4,y_top,1.4848147116188357,1.4397294925403954,-0.04508521907844032
en,travel,grok-4.20-0309-reasoning,y_mention,11.22060717571297,12.365461676833801,1.1448545011208306
en,travel,grok-4.20-0309-reasoning,y_top,1.4271968303381917,2.2555182625863774,0.8283214322481858
en,travel,zai-org/GLM-5,y_mention,11.366828379709661,10.226322819274632,-1.1405055604350292
en,travel,zai-org/GLM-5,y_top,1.303120759837178,1.780918727915194,0.477797968078016
en,vpn,ALL,y_mention,6.53056791526947,6.291600139729431,-0.23896777554003812
en,vpn,ALL,y_top,1.3189229312242445,2.4488715548354025,1.129948623611158
en,vpn,claude-opus-4-6,y_mention,5.444497056222137,6.501502086868779,1.0570050306466419
en,vpn,claude-opus-4-6,y_top,1.0384473197781887,2.0980836096062103,1.0596362898280216
en,vpn,gpt-5.4,y_mention,5.977904612595841,5.72256711284302,-0.2553374997528213
en,vpn,gpt-5.4,y_top,1.1334783284138572,2.6787591466556733,1.545280818241816
en,vpn,grok-4.20-0309-reasoning,y_mention,7.109338497997089,6.4204902150239995,-0.6888482829730895
en,vpn,grok-4.20-0309-reasoning,y_top,1.0160314869924163,1.9360975609756093,0.920066073983193
en,vpn,zai-org/GLM-5,y_mention,6.052046794038567,5.908631055754771,-0.14341573828379595
en,vpn,zai-org/GLM-5,y_top,2.1621706993492955,2.251085592975007,0.08891489362571159
tr,cosmetics,ALL,y_mention,28.9317821699608,35.88271825255193,6.950936082591131
tr,cosmetics,ALL,y_top,4.153846153846153,3.6000000000000005,-0.5538461538461528
tr,cosmetics,MiniMax-M2.7,y_mention,23.373309287646528,32.982384028185564,9.609074740539036
tr,cosmetics,MiniMax-M2.7,y_top,1.7999999999999998,3.5999999999999996,1.7999999999999998
tr,cosmetics,abliterated-model-large-v2,y_mention,21.55374149659864,29.739375320020486,8.185633823421846
tr,cosmetics,abliterated-model-large-v2,y_top,2.9999999999999996,2.2830188679245285,-0.7169811320754711
tr,cosmetics,gemini-3.5-flash-lite,y_mention,29.096834264432033,26.11894273127753,-2.9778915331545015
tr,cosmetics,gemini-3.5-flash-lite,y_top,3.857142857142857,2.3333333333333335,-1.5238095238095237
tr,vpn,ALL,y_mention,6.956552348385799,6.9748655745904715,0.018313226204672794
tr,vpn,ALL,y_top,3.8781869688385266,3.9477521263669506,0.06956515752842396
tr,vpn,MiniMax-M2.7,y_mention,8.068357998590558,8.427929950606197,0.35957195201563863
tr,vpn,MiniMax-M2.7,y_top,2.0,2.959731543624161,0.9597315436241609
tr,vpn,abliterated-model-large-v2,y_mention,4.290810810810811,5.6917914300464645,1.4009806192356535
tr,vpn,abliterated-model-large-v2,y_top,2.0317460317460316,3.967032967032967,1.9352869352869355
tr,vpn,gemini-3.5-flash-lite,y_mention,6.191123836793128,5.829201101928375,-0.3619227348647529
tr,vpn,gemini-3.5-flash-lite,y_top,3.260869565217391,3.481927710843374,0.22105814562598303
