scope,arm,n,n_base,first_rate,first_rate_lo,first_rate_hi,first_effect,first_effect_lo,first_effect_hi,mentioned_rate,mentioned_rate_lo,mentioned_rate_hi,mentioned_effect,mentioned_effect_lo,mentioned_effect_hi
ALL,incumbent,20,20,0.45,0.25,0.65,0.35,0.1,0.6,0.85,0.7,1.0,0.0,-0.25,0.25
ALL,small,20,20,0.15,0.0,0.35,0.04999999999999999,-0.15000000000000002,0.25,0.9,0.75,1.0,0.050000000000000044,-0.15000000000000002,0.25
ALL,fictional,20,20,0.1,0.0,0.25,0.0,-0.2,0.2,0.85,0.7,1.0,0.0,-0.20000000000000007,0.25
sunscreen,incumbent,10,10,0.4,0.1,0.7,0.30000000000000004,-0.09999999999999998,0.6,0.8,0.5,1.0,-0.09999999999999998,-0.4,0.20000000000000007
sunscreen,small,10,10,0.2,0.0,0.5,0.1,-0.2,0.4,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,fictional,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.9,0.7,1.0,0.0,-0.30000000000000004,0.20000000000000007
vpn,incumbent,10,10,0.5,0.2,0.8,0.4,0.0,0.7000000000000001,0.9,0.7,1.0,0.09999999999999998,-0.20000000000000007,0.4
vpn,small,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.8,0.5,1.0,0.0,-0.30000000000000004,0.30000000000000004
vpn,fictional,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.8,0.5,1.0,0.0,-0.4,0.30000000000000004
